Nome do Prato,Tempo de Preparo,Receita,Legumes,Proteínas,Carboidratos,Requisitos
Bife Com Arroz e Feijão,20',"1-Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
2- Pré-aquecer a frigideira por três minutos em fogo baixo e aquecer um pouco de azeite.
2- Quando o azeite estiver quente colocar o bife temperado na frigideira por três minutos e virar por mais três minutos.
4-Retirar e servir com arroz e feijão.
Dica: O tempo varia de acordo com a grossura e tipo de carne, o ponto é a gosto do chef.",FEIJAO COZIDO,BIFE GRELHADO,ARROZ,"BIFE TEMPERADO, ARROZ COZIDO, FEIJAO COZIDO"
Frango Grelhado com Arroz e Feijão,20',"1-Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
2- Pré-aquecer a frigideira por três minutos em fogo baixo e aquecer um pouco de azeite.
2- Quando o azeite estiver quente colocar o peito de frango temperado na frigideira por três minutos e virar por mais três minutos.
4-Retirar e servir com arroz e feijão.
Dica: O tempo varia de acordo com a grossura do frango. Sempre é melhor passar do que deixar cru. Um shoyu cai bem.",FEIJAO COZIDO,PEITO DE FRANGO GRELHADO,ARROZ,"PEITO DE FRANGO TEMPERADO, ARROZ COZIDO, FEIJAO COZIDO"
Picadinho de Carne com Arroz e Feijão,15',"1-Colocar a vasilha de vidro com Picadinho de Carne  por 2’ no microondas, misturar e colocar mais um minuto. 
2 -Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
3-Servir nos pratos juntos da salada escolhida.
Dica: Ratatouille mandou um abraço",FEIJAO COZIDO,PICADINHO REFOGADO,ARROZ,"PICADINHO REFOGADO, ARROZ COZIDO, FEIJAO COZIDO"
Picadinho de Frango com Arroz e Feijão,15',"1-Colocar a vasilha de vidro com Picadinho de Frango  por 2’ no microondas, misturar e colocar mais um minuto. 
2 -Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
3-Servir nos pratos juntos da salada escolhida.
Dica: Toma uma estrela michelin pra você *.",FEIJAO COZIDO,PICADINHO DE FRANGO,ARROZ,"PICADINHO DE FRANGO COZIDO, ARROZ COZIDO, FEIJAO COZIDO"
Coxa/Sobrecoxa Dourada com Salada,35',"1- Ligue a AirFryer na tomada junto do fogão (é mais grossa) e pré-aqueca por 10’ na temperatura máxima. 
2- Coloque a Coxa/Sobre Coxa Temperada no cesto da airfryer e cozinhe por 15’, vire e cozinhe por mais 15 ou até ficar dourada.
3- Retire com o pegador de macarrão e sirva com a salada escolhida.
Dica: Você pode aquecer o arroz e feijão depois que virar o frango e antes de acabar de cozinhar.",,COXA/SOBRECOXA AIRFRIER,,COXA/SOBRECOXA TEMPERADA
Coxa/Sobrecoxa Dourada com Arroz e Feijão,35',"1- Ligue a AirFryer na tomada junto do fogão (é mais grossa) e pré-aqueca por 10’ na temperatura máxima. 
2- Coloque a Coxa/Sobre Coxa Temperada no cesto da airfryer e cozinhe por 15’, vire e cozinhe por mais 15 ou até ficar dourada.
2 -Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
3- Retire as Coxas/Sobrecoxas com o pegador de macarrão e sirva com arroz e feijão.
Dica: Você pode aquecer o arroz e feijão depois que virar o frango e antes de acabar de cozinhar.",FEIJAO COZIDO,COXA/SOBRECOXA AIRFRIER,ARROZ,"COXA/SOBRECOXA TEMPERADA, ARROZ COZIDO, FEIJAO COZIDO"
Filé de Peixe Grelhado com Arroz e Feijão,15',"1-Colocar as vasilhas de vidro com Arroz e Feijão no microondas por 2’, misturar e colocar mais um minuto.
2- Pré-aquecer a frigideira por três minutos em fogo baixo e aquecer um pouco de azeite.
3- Quando o azeite estiver quente colocar o filé de peixe temperado na frigideira por dois minutos e virar por mais dois minutos.
4-Retirar e servir com o arroz e feijão.
Dica: Se o peixe tiver pele, cozinhe primeiro pelo lado SEM pele e por último com pele.",FEIJAO COZIDO,FILÉ DE PEIXE GRELHADO,ARROZ,"FILÉ DE PEIXE TEMPERADO, ARROZ COZIDO, FEIJAO COZIDO"
Filé de Peixe Grelhado com Salada,15',"1- Pré-aquecer a frigideira por três minutos em fogo baixo e aquecer um pouco de azeite.
2- Quando o azeite estiver quente colocar o filé de peixe temperado na frigideira por dois minutos e virar por mais dois minutos.
3-Retirar e servir com a salada escolhida.
Dica: Se o peixe tiver pele, cozinhe primeiro pelo lado SEM pele e por último com pele.",,FILÉ DE PEIXE GRELHADO,,FILÉ DE PEIXE TEMPERADO
Crepioca Brasileira,20',"1- Misturar (sem bater) um ovo duas colheres de tapioca em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
2- Pre-aquecer a frigideira por três minutos em fogo baixo.
3- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
4- Distribuir um punhado de frango desfiado apenas na metade da crepioca mais próxima da alça da frigideira e completar com requeijão e tomate cortado pequeno.
5- Conferir com a espátula que a crepioca esteja cozida por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
6- Aguardar até o ponto desejado e retirar. 
Dica: Não sei, nunca fiz.",TOMATE,"PEITO DE FRANGO DESFIADO, CREPIOCA","TAPIOCA, REQUEIJÃO","TOMATE CORTADO, PEITO DE FRANGO COZIDO DESFIADO, OVOS FRESCOS"
Crepioca Caprese,20',"1- Misturar (sem bater) um ovo duas colheres de tapioca em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
2- Pre-aquecer a frigideira por três minutos em fogo baixo.
3- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
4- Distribuir um punhado de queijo minas ralado apenas na metade da crepioca mais próxima da alça da frigideira e completar com tomate cortado pequeno sal e orégano.
5- Conferir com a espátula que a crepioca esteja cozida por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
6- Aguardar até o ponto desejado e retirar. 
Dica: Eu acho que é igual ao omelete.",TOMATE,CREPIOCA,"TAPIOCA, QUEIJO MINAS","TOMATE CORTADO, OVOS FRESCOS"
Crepioca de Presunto e Queijo,20',"1- Misturar (sem bater) um ovo duas colheres de tapioca em uma vasilha de vidro com uma pisca de sal e pimenta do reino.
2- Pre-aquecer a frigideira por três minutos em fogo baixo.
3- Distribuir com a espátula de silicone umas duas gotinhas de azeite ou de manteiga e jogar a mistura de ovos em seguida.
4- Distribuir um punhado de queijo minas ralado apenas na metade da crepioca mais próxima da alça da frigideira e completar com presunto cru despedaçado.
5- Conferir com a espátula que a crepioca esteja cozida por baixo, ir separando com a espátula a metade sem recheio e jogar por cima da outra. 
6- Aguardar até o ponto desejado e retirar. 
Dica: Pode ser que um ovo seja pouco para nossa frigideira, só fazendo.",,CREPIOCA,"TAPIOCA, QUEIJO MINAS",OVOS FRESCOS
Escondidinho de Carne Moida,35',"1- Colocar Carne Moída refogada em uma vasilha grande e retangular de vidro
2-Colocar purê de abóbora por cima e finalizar com um pouco de queijo minas ralado.
3- Colocar no microondas por 3 minutos ou até ver a carne borbulhando dentro.
Dica: Você pode usar o grill do microondas ou do forno para ‘gratinar’ o queijo minas de cima.",,CARNE MOÍDA REFOGADA,"PURE DE ABÓBORA, QUEIJO MINAS","CARNE MOIDA REFOGADA, PURE DE ABOBORA"
Escondidinho de Frango,35',"1- Misturar o frango desfiado com três colheres de requeijão, um punhado de cenoura ralada e milho.
2- Colocar a mistura em uma vasilha grande e retangular de vidro
3-Colocar purê de batata por cima e finalizar com um pouco de queijo minas ralado.
4- Colocar no microondas por 3 minutos ou até ver o recheio borbulhando dentro.
Dica: Você pode usar o grill do microondas ou do forno para ‘gratinar’ o queijo minas de cima.","CENOURA RALADA, MILHO EM LATA",PEITO DE FRANGO DESFIADO,"PURE DE BATATA, REQUEIJÃO, QUEIJO MINAS","CENOURA RALADA, LATA DE MILHO, PURE DE BATATA, PEITO DE FRANGO COZIDO DESFIADO"
Escondidinho de Carne na Faca,35',"1- Colocar o Picadinho de Carne refogada em uma vasilha grande e retangular de vidro
2-Colocar purê de abóbora por cima e finalizar com um pouco de queijo minas ralado.
3- Colocar no microondas por 3 minutos ou até ver a carne borbulhando dentro.
Dica: Você pode usar o grill do microondas ou do forno para ‘gratinar’ o queijo minas de cima.",,PICADINHO REFOGADO,"PURE DE ABÓBORA, QUEIJO MINAS","PICADINHO REFOGADO, PURE DE ABOBORA"
